19:07:01.619811 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:02.449367 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:03.452027 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:04.622817 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:04.840262 ARP, Request who-has 192.168.184.132 (Broadcast) tell 192.168.184.131, length 46
19:07:04.840945 ARP, Reply 192.168.184.132 is-at 00:0c:29:89:bb:aa (oui Unknown), length 46
19:07:05.040806 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:07:05.450558 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:06.043188 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:07:06.449101 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:07.043045 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:07:07.629265 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:07.756949 IP 192.168.184.1.51252 > 239.255.255.250.1900: UDP, length 174
19:07:08.451242 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:08.760092 IP 192.168.184.1.51252 > 239.255.255.250.1900: UDP, length 174
19:07:09.045196 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:07:09.451225 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:09.760228 IP 192.168.184.1.51252 > 239.255.255.250.1900: UDP, length 174
19:07:10.046685 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:07:10.632524 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:10.761448 IP 192.168.184.1.51252 > 239.255.255.250.1900: UDP, length 174
19:07:11.046675 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:07:11.452645 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:12.451937 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:13.047367 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:07:13.637385 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:14.045034 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:07:14.450992 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:15.046835 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:07:15.449035 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:16.643481 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:17.451972 ARP, Request who-has 192.168.184.2 tell 192.168.184.1, length 46
19:07:18.049667 IP 192.168.184.131.52872 > 192.168.184.132.mysql: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.151540 IP 192.168.184.131.52873 > 192.168.184.132.ftp: Flags [FPU], seq 1457118848, win 1024, urg 0, length 0
19:07:19.151569 IP 192.168.184.131.52873 > 192.168.184.132.pop3s: Flags [FPU], seq 1457118848, win 1024, urg 0, length 0
19:07:19.151596 IP 192.168.184.131.52873 > 192.168.184.132.1723: Flags [FPU], seq 1457118848, win 1024, urg 0, length 0
19:07:19.151613 IP 192.168.184.131.52873 > 192.168.184.132.5900: Flags [FPU], seq 1457118848, win 1024, urg 0, length 0
19:07:19.151641 IP 192.168.184.131.52873 > 192.168.184.132.imap2: Flags [FPU], seq 1457118848, win 1024, urg 0, length 0
19:07:19.151669 IP 192.168.184.131.52873 > 192.168.184.132.smtp: Flags [FPU], seq 1457118848, win 1024, urg 0, length 0
19:07:19.151686 IP 192.168.184.131.52873 > 192.168.184.132.imaps: Flags [FPU], seq 1457118848, win 1024, urg 0, length 0
19:07:19.151713 IP 192.168.184.131.52872 > 192.168.184.132.microsoft-ds: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.151742 IP 192.168.184.131.52872 > 192.168.184.132.256: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.151759 IP 192.168.184.131.52872 > 192.168.184.132.8888: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.151786 IP 192.168.184.131.52872 > 192.168.184.132.ssh: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.151816 IP 192.168.184.131.52872 > 192.168.184.132.submission: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.151843 IP 192.168.184.131.52872 > 192.168.184.132.3389: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.151863 IP 192.168.184.131.52872 > 192.168.184.132.http: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.151907 IP 192.168.184.132.pop3 > 192.168.184.131.52873: Flags [R.], seq 0, ack 1457118849, win 0, length 0
19:07:19.151940 IP 192.168.184.132.https > 192.168.184.131.52873: Flags [R.], seq 0, ack 1457118849, win 0, length 0
19:07:19.151968 IP 192.168.184.132.ftp > 192.168.184.131.52873: Flags [R.], seq 0, ack 1457118849, win 0, length 0
19:07:19.151995 IP 192.168.184.132.pop3s > 192.168.184.131.52873: Flags [R.], seq 0, ack 1457118849, win 0, length 0
19:07:19.152011 IP 192.168.184.132.1723 > 192.168.184.131.52873: Flags [R.], seq 0, ack 1457118849, win 0, length 0
19:07:19.152027 IP 192.168.184.132.5900 > 192.168.184.131.52873: Flags [R.], seq 0, ack 1457118849, win 0, length 0
19:07:19.152055 IP 192.168.184.132.imap2 > 192.168.184.131.52873: Flags [R.], seq 0, ack 1457118849, win 0, length 0
19:07:19.152105 IP 192.168.184.131.52872 > 192.168.184.132.1025: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.152127 IP 192.168.184.131.52872 > 192.168.184.132.telnet: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.152155 IP 192.168.184.131.52872 > 192.168.184.132.netbios-ssn: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.152184 IP 192.168.184.131.52872 > 192.168.184.132.http-alt: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.152200 IP 192.168.184.131.52872 > 192.168.184.132.rtsp: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.152227 IP 192.168.184.132.smtp > 192.168.184.131.52873: Flags [R.], seq 0, ack 1457118849, win 0, length 0
19:07:19.152256 IP 192.168.184.132.imaps > 192.168.184.131.52873: Flags [R.], seq 0, ack 1457118849, win 0, length 0
19:07:19.152283 IP 192.168.184.132.microsoft-ds > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.152299 IP 192.168.184.132.256 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.152327 IP 192.168.184.132.8888 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.152354 IP 192.168.184.132.ssh > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.152381 IP 192.168.184.132.submission > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.152397 IP 192.168.184.132.3389 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.152424 IP 192.168.184.132.http > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.152479 IP 192.168.184.132.1025 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.152516 IP 192.168.184.132.telnet > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.152545 IP 192.168.184.132.netbios-ssn > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.152573 IP 192.168.184.132.http-alt > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.152617 IP 192.168.184.132.rtsp > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.155334 IP 192.168.184.131.52872 > 192.168.184.132.smux: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155469 IP 192.168.184.131.52872 > 192.168.184.132.domain: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155488 IP 192.168.184.131.52872 > 192.168.184.132.auth: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155515 IP 192.168.184.131.52872 > 192.168.184.132.1720: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155542 IP 192.168.184.131.52872 > 192.168.184.132.sunrpc: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155570 IP 192.168.184.131.52872 > 192.168.184.132.loc-srv: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155587 IP 192.168.184.131.52872 > 192.168.184.132.1183: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155614 IP 192.168.184.131.52872 > 192.168.184.132.1461: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155641 IP 192.168.184.131.52872 > 192.168.184.132.30951: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155670 IP 192.168.184.131.52872 > 192.168.184.132.mmcc: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155687 IP 192.168.184.131.52872 > 192.168.184.132.1063: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155714 IP 192.168.184.131.52872 > 192.168.184.132.843: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155742 IP 192.168.184.131.52872 > 192.168.184.132.1700: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155797 IP 192.168.184.132.smux > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.155829 IP 192.168.184.132.domain > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.155846 IP 192.168.184.132.auth > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.155861 IP 192.168.184.132.1720 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.155888 IP 192.168.184.132.sunrpc > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.155915 IP 192.168.184.132.loc-srv > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.155956 IP 192.168.184.131.52872 > 192.168.184.132.5901: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.155987 IP 192.168.184.131.52872 > 192.168.184.132.3766: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156004 IP 192.168.184.131.52872 > 192.168.184.132.1500: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156032 IP 192.168.184.131.52872 > 192.168.184.132.1186: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156060 IP 192.168.184.131.52872 > 192.168.184.132.1935: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156089 IP 192.168.184.131.52872 > 192.168.184.132.8011: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156141 IP 192.168.184.132.1183 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156172 IP 192.168.184.132.1461 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156189 IP 192.168.184.132.30951 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156217 IP 192.168.184.132.mmcc > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156234 IP 192.168.184.132.1063 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156261 IP 192.168.184.132.843 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156277 IP 192.168.184.132.1700 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156305 IP 192.168.184.132.5901 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156333 IP 192.168.184.132.3766 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156349 IP 192.168.184.132.1500 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156376 IP 192.168.184.132.1186 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156404 IP 192.168.184.132.1935 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156432 IP 192.168.184.132.8011 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156461 IP 192.168.184.131.52872 > 192.168.184.132.snmp: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156535 IP 192.168.184.131.52872 > 192.168.184.132.1166: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156552 IP 192.168.184.131.52872 > 192.168.184.132.10628: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156579 IP 192.168.184.131.52872 > 192.168.184.132.1154: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156606 IP 192.168.184.131.52872 > 192.168.184.132.afs3-fileserver: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156623 IP 192.168.184.131.52872 > 192.168.184.132.1047: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156639 IP 192.168.184.131.52872 > 192.168.184.132.45100: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156655 IP 192.168.184.131.52872 > 192.168.184.132.5850: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156671 IP 192.168.184.131.52872 > 192.168.184.132.9110: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.156759 IP 192.168.184.132.snmp > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156854 IP 192.168.184.132.1166 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156872 IP 192.168.184.132.10628 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156899 IP 192.168.184.132.1154 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156926 IP 192.168.184.132.afs3-fileserver > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156954 IP 192.168.184.132.1047 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156970 IP 192.168.184.132.45100 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.156996 IP 192.168.184.132.5850 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.157024 IP 192.168.184.132.9110 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253030 IP 192.168.184.131.52872 > 192.168.184.132.1036: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253144 IP 192.168.184.131.52872 > 192.168.184.132.1719: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253163 IP 192.168.184.131.52872 > 192.168.184.132.6: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253193 IP 192.168.184.131.52872 > 192.168.184.132.5054: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253211 IP 192.168.184.131.52872 > 192.168.184.132.555: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253269 IP 192.168.184.131.52872 > 192.168.184.132.8443: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253299 IP 192.168.184.131.52872 > 192.168.184.132.52822: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253343 IP 192.168.184.132.1036 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253379 IP 192.168.184.132.1719 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253396 IP 192.168.184.132.6 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253424 IP 192.168.184.131.52872 > 192.168.184.132.search: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253446 IP 192.168.184.131.52872 > 192.168.184.132.8009: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253463 IP 192.168.184.131.52872 > 192.168.184.132.8100: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253479 IP 192.168.184.131.52872 > 192.168.184.132.4111: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253506 IP 192.168.184.131.52872 > 192.168.184.132.1141: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253523 IP 192.168.184.131.52872 > 192.168.184.132.2033: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253550 IP 192.168.184.132.5054 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253581 IP 192.168.184.132.555 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253598 IP 192.168.184.132.8443 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253626 IP 192.168.184.131.52872 > 192.168.184.132.5802: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253649 IP 192.168.184.131.52872 > 192.168.184.132.radius: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253666 IP 192.168.184.131.52872 > 192.168.184.132.9485: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253706 IP 192.168.184.132.52822 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253724 IP 192.168.184.132.search > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253754 IP 192.168.184.132.8009 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253771 IP 192.168.184.132.8100 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253799 IP 192.168.184.131.52872 > 192.168.184.132.62078: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253819 IP 192.168.184.131.52872 > 192.168.184.132.27355: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253836 IP 192.168.184.131.52872 > 192.168.184.132.7778: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253852 IP 192.168.184.131.52872 > 192.168.184.132.6510: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253880 IP 192.168.184.131.52872 > 192.168.184.132.1086: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253897 IP 192.168.184.131.52872 > 192.168.184.132.9009: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.253926 IP 192.168.184.132.4111 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253959 IP 192.168.184.132.1141 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.253975 IP 192.168.184.132.2033 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.254003 IP 192.168.184.131.52872 > 192.168.184.132.32774: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.254028 IP 192.168.184.131.52872 > 192.168.184.132.sane-port: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.254045 IP 192.168.184.131.52872 > 192.168.184.132.2500: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.254088 IP 192.168.184.132.5802 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.254106 IP 192.168.184.132.radius > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.254136 IP 192.168.184.132.9485 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.254153 IP 192.168.184.132.62078 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.254180 IP 192.168.184.131.52872 > 192.168.184.132.3052: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.254201 IP 192.168.184.131.52872 > 192.168.184.132.1061: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.254219 IP 192.168.184.131.52872 > 192.168.184.132.9900: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.254236 IP 192.168.184.131.52872 > 192.168.184.132.9594: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.254264 IP 192.168.184.131.52872 > 192.168.184.132.55600: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.254283 IP 192.168.184.131.52872 > 192.168.184.132.1124: Flags [FPU], seq 1457053313, win 1024, urg 0, length 0
19:07:19.254309 IP 192.168.184.132.27355 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.254341 IP 192.168.184.132.7778 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.254358 IP 192.168.184.132.6510 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
19:07:19.254373 IP 192.168.184.132.1086 > 192.168.184.131.52872: Flags [R.], seq 0, ack 1457053314, win 0, length 0
