19:12:13.207477 ARP, Request who-has 192.168.184.132 (Broadcast) tell 192.168.184.131, length 46
19:12:13.208242 ARP, Reply 192.168.184.132 is-at 00:0c:29:89:bb:aa (oui Unknown), length 46
19:12:13.410242 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:14.408118 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:15.410108 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:17.412486 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:18.414511 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:19.412617 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:21.414260 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:22.414352 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:23.414382 ARP, Request who-has 192.168.184.128 tell 192.168.184.131, length 46
19:12:26.415309 IP 192.168.184.131.55457 > 192.168.184.132.telnet: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.524433 IP 192.168.184.131.55457 > 192.168.184.132.nntp: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.524450 IP 192.168.184.131.55457 > 192.168.184.132.afpovertcp: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.524479 IP 192.168.184.131.55457 > 192.168.184.132.ms-sql-s: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.524506 IP 192.168.184.131.55457 > 192.168.184.132.49157: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.524533 IP 192.168.184.131.55457 > 192.168.184.132.aol: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.524589 IP 192.168.184.132.3389 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.524621 IP 192.168.184.132.5900 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.524637 IP 192.168.184.132.pop3s > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.524664 IP 192.168.184.132.loc-srv > 192.168.184.131.55457: Flags [S.], seq 2239081489, ack 2900692533, win 17520, options [mss 1460], length 0
19:12:27.524692 IP 192.168.184.132.submission > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.524708 IP 192.168.184.132.nfs > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.524736 IP 192.168.184.132.klogin > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.524763 IP 192.168.184.132.6646 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.524792 IP 192.168.184.132.7070 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.524809 IP 192.168.184.132.nntp > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.524835 IP 192.168.184.132.afpovertcp > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.524862 IP 192.168.184.132.ms-sql-s > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.524890 IP 192.168.184.131.55457 > 192.168.184.132.9999: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.524922 IP 192.168.184.131.55457 > 192.168.184.132.kerberos: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.524939 IP 192.168.184.131.55457 > 192.168.184.132.loc-srv: Flags [R], seq 2900692533, win 0, length 0
19:12:27.524968 IP 192.168.184.131.55457 > 192.168.184.132.49152: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.524995 IP 192.168.184.131.55457 > 192.168.184.132.kshell: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.525023 IP 192.168.184.131.55457 > 192.168.184.132.radmin-port: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.525059 IP 192.168.184.131.55457 > 192.168.184.132.49154: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.525090 IP 192.168.184.131.55457 > 192.168.184.132.3000: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.525107 IP 192.168.184.131.55457 > 192.168.184.132.snpp: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.525133 IP 192.168.184.131.55457 > 192.168.184.132.1900: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.525160 IP 192.168.184.131.55457 > 192.168.184.132.webmin: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.525197 IP 192.168.184.131.55457 > 192.168.184.132.32768: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.525214 IP 192.168.184.131.55457 > 192.168.184.132.ldap: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.525240 IP 192.168.184.131.55457 > 192.168.184.132.1110: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.525267 IP 192.168.184.131.55457 > 192.168.184.132.9100: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.525299 IP 192.168.184.132.49157 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525346 IP 192.168.184.132.aol > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525373 IP 192.168.184.132.9999 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525401 IP 192.168.184.132.kerberos > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525417 IP 192.168.184.132.49152 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525444 IP 192.168.184.132.kshell > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525471 IP 192.168.184.132.radmin-port > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525498 IP 192.168.184.132.49154 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525514 IP 192.168.184.132.3000 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525531 IP 192.168.184.132.snpp > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525560 IP 192.168.184.132.1900 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525576 IP 192.168.184.132.webmin > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525604 IP 192.168.184.132.32768 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525630 IP 192.168.184.132.ldap > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525657 IP 192.168.184.132.1110 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.525674 IP 192.168.184.132.9100 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.621873 IP 192.168.184.131.55457 > 192.168.184.132.ipp: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.621964 IP 192.168.184.131.55457 > 192.168.184.132.cisco-sccp: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.621984 IP 192.168.184.131.55457 > 192.168.184.132.5800: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622001 IP 192.168.184.131.55457 > 192.168.184.132.49153: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622031 IP 192.168.184.131.55457 > 192.168.184.132.5009: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622048 IP 192.168.184.131.55457 > 192.168.184.132.1755: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622065 IP 192.168.184.131.55457 > 192.168.184.132.5000: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622116 IP 192.168.184.131.55457 > 192.168.184.132.646: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622138 IP 192.168.184.131.55457 > 192.168.184.132.8000: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622160 IP 192.168.184.132.ipp > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622198 IP 192.168.184.132.cisco-sccp > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622245 IP 192.168.184.131.55457 > 192.168.184.132.daytime: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622264 IP 192.168.184.131.55457 > 192.168.184.132.iprop: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622282 IP 192.168.184.131.55457 > 192.168.184.132.49155: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622314 IP 192.168.184.131.55457 > 192.168.184.132.nrpe: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622334 IP 192.168.184.131.55457 > 192.168.184.132.8443: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622361 IP 192.168.184.132.5800 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622393 IP 192.168.184.132.49153 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622412 IP 192.168.184.132.5009 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622428 IP 192.168.184.132.1755 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622454 IP 192.168.184.131.55457 > 192.168.184.132.discard: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622486 IP 192.168.184.131.55457 > 192.168.184.132.poppassd: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622503 IP 192.168.184.131.55457 > 192.168.184.132.bgp: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622519 IP 192.168.184.131.55457 > 192.168.184.132.5101: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622549 IP 192.168.184.131.55457 > 192.168.184.132.tproxy: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622566 IP 192.168.184.131.55457 > 192.168.184.132.81: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622592 IP 192.168.184.132.5000 > 192.168.184.131.55457: Flags [S.], seq 2239150063, ack 2900692533, win 17520, options [mss 1460], length 0
19:12:27.622614 IP 192.168.184.132.646 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622630 IP 192.168.184.132.8000 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622673 IP 192.168.184.131.55457 > 192.168.184.132.2717: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622694 IP 192.168.184.131.55457 > 192.168.184.132.5631: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622711 IP 192.168.184.131.55457 > 192.168.184.132.5000: Flags [R], seq 2900692533, win 0, length 0
19:12:27.622739 IP 192.168.184.131.55457 > 192.168.184.132.1028: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622759 IP 192.168.184.131.55457 > 192.168.184.132.1029: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622785 IP 192.168.184.132.daytime > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622818 IP 192.168.184.132.iprop > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622834 IP 192.168.184.132.49155 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622852 IP 192.168.184.132.nrpe > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622869 IP 192.168.184.132.8443 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622898 IP 192.168.184.132.discard > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622915 IP 192.168.184.132.poppassd > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.622958 IP 192.168.184.131.55457 > 192.168.184.132.enbd-cstatd: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622979 IP 192.168.184.131.55457 > 192.168.184.132.3986: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.622996 IP 192.168.184.131.55457 > 192.168.184.132.3128: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.623012 IP 192.168.184.131.55457 > 192.168.184.132.ftps: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.623040 IP 192.168.184.131.55457 > 192.168.184.132.1026: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.623059 IP 192.168.184.131.55457 > 192.168.184.132.144: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.623075 IP 192.168.184.131.55457 > 192.168.184.132.svrloc: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.623103 IP 192.168.184.131.55457 > 192.168.184.132.5357: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.623120 IP 192.168.184.131.55457 > 192.168.184.132.shell: Flags [S], seq 2900692532, win 1024, options [mss 1460], length 0
19:12:27.623146 IP 192.168.184.132.bgp > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623215 IP 192.168.184.132.5101 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623232 IP 192.168.184.132.tproxy > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623247 IP 192.168.184.132.81 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623263 IP 192.168.184.132.2717 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623349 IP 192.168.184.132.5631 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623372 IP 192.168.184.132.1028 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623387 IP 192.168.184.132.1029 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623416 IP 192.168.184.132.enbd-cstatd > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623433 IP 192.168.184.132.3986 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623448 IP 192.168.184.132.3128 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623477 IP 192.168.184.132.ftps > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623493 IP 192.168.184.132.1026 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623554 IP 192.168.184.132.144 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623579 IP 192.168.184.132.svrloc > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623650 IP 192.168.184.132.5357 > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.623679 IP 192.168.184.132.shell > 192.168.184.131.55457: Flags [R.], seq 0, ack 2900692533, win 0, length 0
19:12:27.723403 IP 192.168.184.131.55458 > 192.168.184.132.shell: Flags [S], seq 2900626997, win 1024, options [mss 1460], length 0
19:12:27.723569 IP 192.168.184.131.55458 > 192.168.184.132.5357: Flags [S], seq 2900626997, win 1024, options [mss 1460], length 0
19:12:27.723609 IP 192.168.184.131.55458 > 192.168.184.132.svrloc: Flags [S], seq 2900626997, win 1024, options [mss 1460], length 0
19:12:27.723639 IP 192.168.184.131.55458 > 192.168.184.132.144: Flags [S], seq 2900626997, win 1024, options [mss 1460], length 0
19:12:27.723672 IP 192.168.184.131.55458 > 192.168.184.132.1026: Flags [S], seq 2900626997, win 1024, options [mss 1460], length 0
